ia_rms,ia_ang,ib_rms,ib_ang,ic_rms,ic_ang,in_rms,in_ang,va_rms,va_ang,vb_rms,vb_ang,vc_rms,vc_ang
101.148,276.913,101.983,156.797,112.455,31.326,50.802,355.577,88030.766,103.609,88462.781,343.168,87720.711,223.117
101.186,284.413,101.983,164.341,112.376,38.826,50.802,3.047,88030.766,111.109,88462.406,350.668,87720.711,230.616
101.29,291.967,101.904,171.841,112.447,46.358,51.179,10.547,88030.391,118.609,88462.406,358.168,87720.508,238.116
101.23,299.572,102.163,179.333,112.447,53.821,50.931,17.765,88030.164,126.109,88461.234,5.668,87720.672,245.617
101.085,307.023,102.249,186.835,112.447,61.321,50.741,25.624,88030.43,133.609,88460.086,13.168,87720.789,253.116
101.004,314.433,102.249,194.328,112.447,68.821,50.57,33.468,88030.43,141.109,88460.086,20.668,87720.789,260.616
100.915,321.892,102.335,201.828,112.447,76.321,50.379,41.412,88031.078,148.609,88459.742,28.168,87720.805,268.116
101.004,329.357,102.256,209.307,112.447,83.821,50.524,49.449,88030.383,156.109,88461.281,35.668,87720.883,275.616
100.908,336.886,102.256,216.835,112.447,91.321,50.44,56.337,88031.484,163.609,88461.281,43.167,87720.883,283.116
100.708,344.364,102.311,224.335,112.452,98.821,50.065,64.174,88031.875,171.109,88459.625,50.667,87720.883,290.616
100.397,351.833,102.354,231.796,112.522,106.371,49.55,73.52,88032.266,178.609,88458.242,58.169,87720.508,298.116
100.289,359.309,102.389,239.252,112.56,114.016,49.309,84.216,88032.266,186.109,88457.602,65.67,87720.508,305.616
100.397,6.809,102.363,246.705,112.56,121.562,49.372,93.377,88031.883,193.609,88457.367,73.171,87720.766,313.116
100.397,14.302,102.342,254.256,112.56,129.063,49.42,100.46,88031.523,201.109,88457.367,80.672,87721.641,320.616
100.183,21.802,102.342,261.809,112.618,136.563,49.232,107.549,88032.531,208.609,88457.352,88.172,87721.961,328.117
99.981,29.344,102.348,269.309,112.618,144.097,48.987,116.237,88033.141,216.109,88457.281,95.672,87721.617,335.617
99.886,36.9,102.338,276.754,112.686,151.597,48.812,125.569,88034.227,223.609,88457.195,103.171,87720.531,343.117
99.97,44.434,102.31,284.199,112.832,159.121,48.69,134.054,88034.938,231.108,88456.914,110.671,87720.148,350.616
